"Regionalwahlkreis";"Bezeichnung";"Stimmbezirke";"Mandate"
"1A";"Burgenland Nord";"Städte: Eisenstadt und Rust;politische Bezirke: Eisenstadt-Umgebung, Mattersburg, Neusiedl am See";4
"1B";"Burgenland Süd";"politische Bezirke: Güssing, Jennersdorf, Oberpullendorf, Oberwart";3
"2A";"Klagenfurt";"Stadt: Klagenfurt;politischer Bezirk: Klagenfurt-Land";3
"2B";"Villach";"Stadt: Villach;politischer Bezirk: Villach-Land";3
"2C";"Kärnten West";"politische Bezirke: Feldkirchen, Hermagor, Spittal an der Drau";3
"2D";"Kärnten Ost";"politische Bezirke: St. Veit an der Glan, Völkermarkt, Wolfsberg";4
"3A";"Weinviertel";"Verwaltungsbezirke: Hollabrunn, Korneuburg, Mistelbach";5
"3B";"Waldviertel";"Stadt: Krems;Verwaltungsbezirke: Gmünd, Horn, Krems, Waidhofen an der Thaya, Zwettl";5
"3C";"Mostviertel";"Stadt: Waidhofen an der Ybbs;Verwaltungsbezirke: Amstetten, Melk, Scheibbs";6
"3D";"Niederösterreich Mitte";"Stadt: Sankt Pölten;Verwaltungsbezirke: Lilienfeld, Sankt Pölten, Tulln";7
"3E";"Niederösterreich Süd";"Stadt: Wiener Neustadt;Verwaltungsbezirke: Neunkirchen, Wiener Neustadt";5
"3F";"Thermenregion";"Verwaltungsbezirke: Baden, Mödling";5
"3G";"Niederösterreich Ost";"Verwaltungsbezirke: Bruck an der Leitha, Gänserndorf";4
"4A";"Linz und Umgebung";"Stadt: Linz;politischer Bezirk: Linz-Land";7
"4B";"Innviertel";"politische Bezirke: Braunau am Inn, Ried im Innkreis, Schärding";5
"4C";"Hausruckviertel";"Stadt: Wels;politische Bezirke: Eferding, Grieskirchen, Vöcklabruck, Wels-Land";8
"4D";"Traunviertel";"Stadt: Steyr;politische Bezirke: Gmunden, Kirchdorf an der Krems, Steyr-Land";6
"4E";"Mühlviertel";"politische Bezirke: Freistadt, Perg, Rohrbach, Urfahr-Umgebung";6
"5A";"Salzburg Stadt";"Stadt: Salzburg";3
"5B";"Flachgau/Tennengau";"politische Bezirke: Hallein, Salzburg-Umgebung";4
"5C";"Lungau/Pinzgau/Pongau";"politische Bezirke: St. Johann im Pongau, Tamsweg, Zell am See";4
"6A";"Graz und Umgebung";"Stadt: Graz; politischer Bezirk: Graz-Umgebung";9
"6B";"Oststeiermark";"politische Bezirke: Hartberg-Fürstenfeld, Südoststeiermark, Weiz";6
"6C";"Weststeiermark";"politische Bezirke: Deutschlandsberg, Leibnitz, Voitsberg";4
"6D";"Obersteiermark";"politische Bezirke: Bruck-Mürzzuschlag, Leoben, Liezen, Murau, Murtal";8
"7A";"Innsbruck";"Stadt: Innsbruck";2
"7B";"Innsbruck-Land";"politische Bezirke: Innsbruck-Land, Schwaz";5
"7C";"Unterland";"politische Bezirke: Kitzbühel, Kufstein";4
"7D";"Oberland";"politische Bezirke: Imst, Landeck, Reutte";3
"7E";"Osttirol";"politischer Bezirk: Lienz";1
"8A";"Vorarlberg Nord";"Verwaltungsbezirke: Bregenz, Dornbirn";4
"8B";"Vorarlberg Süd";"Verwaltungsbezirke: Bludenz, Feldkirch";4
"9A";"Wien Innen-Süd";"Gemeindebezirke: Landstraße, Wieden, Margareten";3
"9B";"Wien Innen-West";"Gemeindebezirke: Innere Stadt, Mariahilf, Neubau, Josefstadt, Alsergrund";3
"9C";"Wien Innen-Ost";"Gemeindebezirke: Leopoldstadt, Brigittenau";3
"9D";"Wien Süd";"Gemeindebezirke: Favoriten, Simmering, Meidling";7
"9E";"Wien Süd-West";"Gemeindebezirke: Hietzing, Penzing, Rudolfsheim-Fünfhaus, Liesing";6
"9F";"Wien Nord-West";"Gemeindebezirke: Ottakring, Hernals, Währing, Döbling";5
"9G";"Wien Nord";"Gemeindebezirke: Floridsdorf, Donaustadt";6
